,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
178,1991Q3,136.6,-0.1966666666666666,1.8223437500000000,5.6433333333333335,6205.937,169.13,8.786666666666667,6.866666666666666,385.55984257812503,21.655
179,1991Q4,137.73333333333332,-0.2333333333333333,1.7108064516129032,4.816666666666666,6264.54,171.49,8.446666666666667,7.1,387.116094046875,21.736666666666668
180,1992Q1,138.66666666666666,-0.03,2.5345161290322581,4.023333333333333,6363.102,172.82,8.28,7.366666666666667,411.9719039047619,18.910333333333334
181,1992Q2,139.73333333333332,0.0266666666666666,2.8200000000000000,3.7699999999999996,6470.763,172.78,8.276666666666666,7.6,410.0615888888889,21.186
182,1992Q3,140.79999999999998,-0.1066666666666666,2.2878125000000000,3.2566666666666664,6566.641,174.75,7.98,7.633333333333333,417.11906240625,21.670333333333332
183,1992Q4,142.03333333333333,0.21,2.8406451612903226,3.0366666666666666,6680.803,175.62,8.023333333333333,7.366666666666667,423.687655921875,20.479
184,1993Q1,143.0666666666667,0.0466666666666666,2.3696721311475410,3.0399999999999996,6729.459,175.7,7.733333333333333,7.133333333333334,442.7503209677419,19.825
185,1993Q2,144.1,0.08,2.1582539682539683,3.0,6808.939,177.39,7.406666666666666,7.066666666666666,445.5058724444445,19.76
186,1993Q3,144.76666666666668,0.06,1.8578125000000000,3.06,6882.098,178.82,6.8933333333333335,6.8,453.55874831250003,17.796333333333333
187,1993Q4,145.96666666666667,0.2133333333333333,1.9850000000000000,2.99,7013.738,180.29,6.843333333333334,6.633333333333334,464.271874453125,16.451333333333334
188,1994Q1,146.70000000000002,0.24,2.2483870967741935,3.2133333333333334,7115.652,181.42,7.16,6.566666666666666,469.2134922857143,14.813333333333333
189,1994Q2,147.53333333333333,0.4733333333333333,2.7022580645161290,3.94,7246.931,182.49,7.946666666666666,6.2,451.1685490483871,17.776666666666667
190,1994Q3,148.9,0.4033333333333333,2.4392187500000000,4.486666666666667,7331.075,183.25,8.173333333333334,6.0,461.120780875,18.496666666666666
191,1994Q4,149.76666666666668,0.6066666666666667,2.4542622950819672,5.166666666666667,7455.288,183.09,8.57,5.633333333333334,460.00523785714284,17.656666666666666
192,1995Q1,150.86666666666667,0.2333333333333333,1.5359677419354839,5.81,7522.289,184.05,8.28,5.466666666666667,480.46571566666665,18.356666666666666
193,1995Q2,152.1,-0.3999999999999999,0.35888888888888888889,6.02,7580.997,187.08,7.66,5.666666666666666,524.4428565079365,19.343333333333334
194,1995Q3,152.86666666666667,-0.4366666666666667,0.28063492063492063492,5.796666666666667,7683.125,189.97,7.433333333333334,5.666666666666666,564.7963470476191,17.853333333333335
195,1995Q4,153.70000000000002,-0.48,-0.05903225806451612903,5.72,7772.586,191.42,6.986666666666667,5.566666666666666,597.1714283968254,18.156666666666666
196,1996Q1,155.06666666666666,-0.48,0.17403225806451612903,5.363333333333333,7868.468,193.57,7.05,5.533333333333333,636.4547641428571,19.77
197,1996Q2,156.4,-0.0999999999999999,1.2046875000000000,5.243333333333333,8032.84,193.89,7.609999999999999,5.5,658.8520605079366,21.756666666666664
198,1996Q3,157.29999999999998,-0.0833333333333333,1.2015625000000000,5.306666666666667,8131.408,194.75,7.59,5.266666666666667,660.097969921875,22.423333333333332
199,1996Q4,158.66666666666666,-0.2066666666666666,0.79129032258064516129,5.28,8259.771,196.27,7.2299999999999995,5.333333333333334,725.860781671875,24.666666666666668
200,1997Q1,159.63333333333333,-0.1366666666666667,1.0738333333333333,5.276666666666666,8362.655,197.9,7.426666666666667,5.233333333333333,784.7406576393444,22.790000000000003
201,1997Q2,160.0,-0.2566666666666666,1.01468750000000000000,5.523333333333333,8518.825,199.53,7.573333333333333,5.0,823.489846234375,19.906666666666666
202,1997Q3,160.79999999999998,-0.3999999999999999,0.56125000000000000000,5.533333333333334,8662.823,202.24,7.169999999999999,4.866666666666666,929.944374109375,19.78333333333333
203,1997Q4,161.66666666666666,-0.34,0.29193548387096774194,5.506666666666667,8765.907,204.87,6.876666666666666,4.666666666666666,951.37906359375,19.916666666666668
204,1998Q1,162.0,-0.4733333333333333,-0.00934426229508196721,5.52,8866.48,207.94,6.666666666666667,4.633333333333334,1023.0900048688524,15.93
205,1998Q2,162.53333333333333,-0.3933333333333333,0.07301587301587301587,5.5,8969.699,209.8,6.636666666666667,4.4,1109.6671393968254,14.653333333333334
206,1998Q3,163.36666666666667,-0.6633333333333333,-0.43390625000000000000,5.533333333333334,9121.097,212.74,6.489999999999999,4.533333333333333,1085.080779125,14.13
207,1998Q4,164.13333333333333,-0.57,-0.49387096774193548387,4.86,9293.991,215.26,6.333333333333333,4.433333333333334,1121.62702753125,12.839999999999998
208,1999Q1,164.73333333333332,-0.32,0.13573770491803278689,4.733333333333333,9411.682,217.52,6.420000000000001,4.3,1260.492625770492,13.046666666666667
209,1999Q2,165.96666666666667,-0.1633333333333333,0.68500000000000000000,4.746666666666667,9526.21,220.42,6.933333333333334,4.266666666666667,1329.6433376984126,17.66
210,1999Q3,167.20000000000002,-0.3166666666666666,0.65250000000000000000,5.093333333333334,9686.626,223.55,7.326666666666667,4.233333333333333,1341.986724859375,21.736666666666668
211,1999Q4,168.43333333333334,-0.0999999999999999,0.75629032258064516129,5.306666666666667,9900.169,225.84,7.486666666666667,4.066666666666666,1374.09875109375,24.563333333333333
212,2000Q1,170.1,0.0133333333333333,0.85126984126984126984,5.676666666666667,10002.179,230.16,7.713333333333334,4.033333333333333,1420.001426079365,28.80666666666667
213,2000Q2,171.4333333333333,-0.3133333333333333,0.13349206349206349206,6.273333333333333,10247.72,233.91,7.766666666666667,3.9333333333333336,1446.5936492857143,28.78333333333333
